Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Date1,LT_Rev,Date2,ST_Rev,Date3,Mom
197107,   -4.49,   -1.43,   -0.02,    0.58,    1.39,    0.40,193901,  -1.62,193402,   2.36,193501,   3.10
197108,    3.79,   -0.23,    2.64,   -0.43,    2.59,    0.47,193902,   2.44,193403,   1.34,193502,  14.46
197109,   -0.86,    0.26,   -2.90,    2.54,   -1.58,    0.37,193903,  -7.16,193404,   0.22,193503,   2.37
197110,   -4.42,   -1.59,   -0.51,    1.56,   -1.39,    0.37,193904,   1.14,193405,  -5.86,193504,  -4.75
197111,   -0.46,   -2.86,   -1.67,    2.41,   -0.44,    0.37,193905,  -0.16,193406,  -0.78,193505,  -3.59
197112,    8.71,    3.24,   -0.38,   -0.43,   -1.68,    0.37,193906,  -5.07,193407,  -4.86,193506,   2.67
197201,    2.47,    6.09,    2.12,   -1.69,    0.54,    0.29,193907,   1.10,193408,  13.35,193507,  -4.78
197202,    2.87,    0.87,   -2.83,    1.69,   -0.50,    0.25,193908,  -0.45,193409,   2.25,193508,  -6.46
197203,    0.62,   -0.47,   -1.61,    1.58,   -0.20,    0.27,193909,  14.46,193410,  -0.16,193509,   8.31
197204,    0.29,    0.27,    0.03,   -0.41,   -1.06,    0.29,193910,  -4.29,193411,   2.02,193510,   1.82
197205,    1.29,   -3.12,   -2.72,    2.40,   -1.97,    0.30,193911,  -3.54,193412,  -2.50,193511,  -7.04
197206,   -2.46,   -0.43,   -2.46,    1.78,   -0.35,    0.29,193912,  -1.90,193501,   2.12,193512,   3.70
197207,   -0.80,   -2.79,    0.60,    1.20,   -0.71,    0.31,194001,   3.46,193502,  -3.66,193601,  -2.94
197208,    3.27,   -3.46,    4.56,   -2.04,    2.90,    0.29,194002,  -1.05,193503,  -1.91,193602,   2.53
197209,   -1.14,   -2.24,    0.49,    1.65,   -1.97,    0.34,194003,  -1.06,193504,   2.76,193603,   1.63
197210,    0.52,   -2.55,    1.22,   -0.11,    0.03,    0.40,194004,   1.29,193505,   3.70,193604,  -7.67
197211,    4.59,   -0.59,    4.88,   -1.98,    3.34,    0.37,194005,  -3.02,193506,   2.68,193605,   2.50
197212,    0.62,   -1.89,   -2.18,    2.58,   -2.14,    0.37,194006,   1.53,193507,  -0.87,193606,   0.56
197301,   -3.28,   -2.82,    2.70,    0.40,    0.90,    0.44,194007,  -1.12,193508,  -3.60,193607,   2.49
197302,   -4.85,   -3.94,    1.64,   -0.29,    0.05,    0.42,194008,  -1.17,193509,  -0.63,193608,   0.60
197303,   -1.30,   -2.29,    2.57,   -0.96,    0.50,    0.46,194009,  -1.78,193510,   1.75,193609,   1.41
197304,   -5.68,   -2.92,    5.39,   -1.55,    2.52,    0.52,194010,   0.36,193511,   5.53,193610,   0.68
197305,   -2.97,   -6.12,    0.38,    1.97,   -1.70,    0.51,194011,  -5.34,193512,  -3.02,193611,   2.04
197306,   -1.57,   -2.48,    1.14,   -0.20,    0.09,    0.51,194012,  -2.72,193601,  -1.41,193612,   2.13
197307,    5.04,    7.19,   -5.26,   -0.09,   -3.23,    0.64,194101,   2.95,193602,   2.02,193701,  -1.99
197308,   -3.82,   -1.78,    1.03,   -1.32,    1.24,    0.70,194102,  -1.62,193603,   1.61,193702,   2.78
197309,    4.74,    3.58,    2.22,   -2.22,    1.73,    0.68,194103,   0.58,193604,  -0.65,193703,   3.31
197310,   -0.83,   -0.27,    1.66,   -1.99,    2.73,    0.65,194104,  -0.72,193605,   2.97,193704,  -3.54
197311,  -12.79,   -7.27,    4.09,   -2.77,    1.66,    0.56,194105,  -0.72,193606,   1.22,193705,   0.57
197312,    0.59,   -4.72,    4.01,   -2.89,    2.44,    0.64,194106,  -0.32,193607,   2.74,193706,   0.78
197401,   -0.16,   10.39,    5.95,   -2.92,    4.49,    0.63,194107,   8.88,193608,  -0.42,193707,  -0.45
197402,   -0.46,    0.12,    2.47,   -1.85,    2.67,    0.58,194108,  -1.72,193609,   1.31,193708,  -1.86
197403,   -2.82,    2.62,   -0.14,    2.90,    0.44,    0.56,194109,  -3.62,193610,   0.28,193709,  -6.81
197404,   -5.28,   -0.66,    0.92,    2.71,    2.14,    0.75,194110,  -3.16,193611,  -2.34,193710,  -1.46
197405,   -4.70,   -3.06,   -2.08,    5.01,   -0.33,    0.75,194111,  -1.75,193612,  -3.43,193711,  -1.31
197406,   -2.84,   -0.05,    0.83,    0.50,    2.98,    0.60,194112,  -5.89,193701,  -2.37,193712,   4.85
197407,   -8.06,    1.84,    5.16,   -3.20,    4.50,    0.70,194201,  14.78,193702,   2.25,193801,  -1.74
197408,   -9.39,    0.28,    2.61,   -0.29,    2.59,    0.60,194202,   1.28,193703,  -2.97,193802,  -2.84
197409,  -11.78,    1.47,    5.43,   -4.33,    5.82,    0.81,194203,  -0.12,193704,   1.51,193803,  15.78
197410,   16.10,   -6.78,   -9.91,   -0.29,   -2.91,    0.51,194204,  -0.08,193705,   0.02,193804,  -9.85
197411,   -4.53,   -1.41,   -0.25,   -3.42,    2.90,    0.54,194205,  -3.47,193706,  -2.14,193805,   6.98
197412,   -3.45,   -4.27,    0.12,   -0.76,    3.38,    0.70,194206,   0.08,193707,   6.69,193806, -24.87
197501,   13.67,   12.88,    8.26,   -0.54,   -1.05,    0.58,194207,   3.55,193708,   4.11,193807,  -6.77
197502,    5.56,   -0.69,   -4.47,    1.17,   -2.11,    0.43,194208,   0.05,193709,  -6.47,193808,   3.49
197503,    2.66,    3.97,    2.42,    1.25,   -1.34,    0.41,194209,   3.14,193710,  -3.66,193809,   2.45
197504,    4.22,   -0.69,   -1.13,    1.39,   -1.37,    0.44,194210,   8.89,193711,  -1.61,193810,  -7.53
197505,    5.20,    2.98,   -4.05,   -1.13,   -0.56,    0.44,194211,  -3.21,193712,  -3.20,193811,   3.32
197506,    4.87,    1.33,    1.35,   -2.70,    1.07,    0.41,194212,   1.80,193801,   6.47,193812,   2.33
197507,   -6.60,    3.40,    1.76,    0.45,    1.24,    0.48,194301,  12.30,193802,   4.47,193901,  -2.96
197508,   -2.84,   -2.77,   -0.91,    1.09,   -0.99,    0.48,194302,   9.60,193803,   8.05,193902,   3.08
197509,   -4.26,   -0.02,    0.33,    0.58,    0.57,    0.53,194303,   5.02,193804,  14.18,193903,  -1.86
197510,    5.32,   -4.25,    0.35,   -0.52,    2.28,    0.56,194304,   4.25,193805,   6.97,193904,   2.73
197511,    2.65,   -1.10,    2.03,   -0.66,    1.74,    0.41,194305,   5.58,193806,  23.80,193905,   3.47
197512,   -1.60,   -0.16,    1.70,   -0.11,    0.77,    0.48,194306,  -1.29,193807,  -4.18,193906,   2.25
197601,   12.16,    6.39,    8.63,   -1.75,    2.33,    0.47,194307,  -2.05,193808,  -1.15,193907,  -0.69
197602,    0.32,    7.91,    5.71,   -2.55,    3.70,    0.34,194308,  -0.59,193809,   1.03,193908,   5.96
197603,    2.32,   -1.38,   -0.11,   -0.38,    0.99,    0.40,194309,   2.88,193810,   3.45,193909, -31.45
197604,   -1.48,    0.10,   -0.16,    0.45,   -1.05,    0.42,194310,  -1.69,193811,   1.53,193910,   6.55
197605,   -1.35,   -1.09,   -1.29,    2.43,   -1.39,    0.37,194311,  -4.16,193812,   2.52,193911,  -0.39
197606,    4.05,   -1.07,    0.73,   -0.67,    1.02,    0.43,194312,   3.28,193901,   4.25,193912,   5.42
197607,   -1.06,    0.61,    1.74,   -1.03,    0.30,    0.47,194401,   2.44,193902,   3.87,194001,   1.74
197608,   -0.57,   -2.02,    0.79,   -0.40,   -0.57,    0.42,194402,  -0.38,193903,   5.00,194002,   1.67
197609,    2.04,    0.20,   -0.31,    0.98,   -1.14,    0.44,194403,   1.44,193904,   3.39,194003,  -0.54
197610,   -2.42,    0.05,   -0.17,   -0.19,   -0.37,    0.41,194404,  -0.52,193905,   3.49,194004,   3.35
197611,    0.37,    2.70,    1.53,   -1.31,    0.07,    0.40,194405,  -0.22,193906,   3.56,194005,   2.77
197612,    5.65,    3.60,    2.23,   -0.72,    2.41,    0.40,194406,   0.45,193907,  13.91,194006,  -2.46
197701,   -4.04,    5.91,    4.32,   -0.54,    1.93,    0.36,194407,   1.19,193908,   7.04,194007,   0.93
197702,   -1.94,    1.05,    0.45,   -0.21,   -0.19,    0.35,194408,   0.56,193909,  19.93,194008,  -1.80
197703,   -1.35,    1.29,    1.09,   -0.32,   -0.11,    0.38,194409,   0.06,193910,  12.96,194009,  -0.06
